Weather_Alert,TIMESTAMP
Heatwave Warning,2024-10-09 14:10:38.509150
Heatwave Warning,2024-10-15 11:10:38.509150
Heatwave Warning,2024-10-04 00:10:38.509150
Flood Watch,2024-10-07 00:10:38.509150
Heatwave Warning,2024-10-25 02:10:38.509150
Flood Watch,2024-10-10 05:10:38.509150
Tornado Warning,2024-10-28 20:10:38.509150
Flood Watch,2024-11-01 08:10:38.509150
Tornado Warning,2024-10-20 02:10:38.509150
Heatwave Warning,2024-10-13 22:10:38.509150
Heatwave Warning,2024-10-14 02:10:38.509150
Thunderstorm Watch,2024-10-10 23:10:38.509150
Thunderstorm Watch,2024-10-31 02:10:38.509150
Heatwave Warning,2024-10-31 11:10:38.509150
Hailstorm Warning,2024-10-25 00:10:38.509150
Thunderstorm Watch,2024-10-21 20:10:38.509150
Heatwave Warning,2024-10-18 14:10:38.509150
Heatwave Warning,2024-10-18 19:10:38.509150
Heatwave Warning,2024-10-19 00:10:38.509150
Thunderstorm Watch,2024-10-22 20:10:38.509150
Blizzard Warning,2024-10-04 18:10:38.509150
Heatwave Warning,2024-10-19 15:10:38.509150
Flood Watch,2024-10-16 02:10:38.509150
Heavy Rainfall Alert,2024-10-08 16:10:38.509150
Thunderstorm Watch,2024-10-27 22:10:38.509150
Tornado Warning,2024-10-04 23:10:38.509150
Heatwave Warning,2024-10-16 18:10:38.509150
Heatwave Warning,2024-11-01 18:10:38.509150
Hailstorm Warning,2024-10-17 02:10:38.509150
High Wind Alert,2024-11-02 10:10:38.509150
Tornado Warning,2024-10-29 16:10:38.509150
Tornado Warning,2024-10-25 20:10:38.509150
Hailstorm Warning,2024-10-09 10:10:38.509150
Flood Watch,2024-10-05 07:10:38.509150
Heatwave Warning,2024-11-08 08:10:38.509150
Tornado Warning,2024-10-18 06:10:38.509150
Thunderstorm Watch,2024-10-31 10:10:38.509150
Heatwave Warning,2024-10-05 11:10:38.509150
High Wind Alert,2024-10-09 22:10:38.509150
Heavy Rainfall Alert,2024-10-27 20:10:38.509150
Hailstorm Warning,2024-10-23 14:10:38.509150
Thunderstorm Watch,2024-10-10 04:10:38.509150
Heatwave Warning,2024-11-15 22:10:38.509150
Hailstorm Warning,2024-10-24 05:10:38.509150
Heatwave Warning,2024-10-19 18:10:38.509150
Tornado Warning,2024-11-17 04:10:38.509150
Thunderstorm Watch,2024-11-12 20:10:38.509150
Blizzard Warning,2024-11-08 10:10:38.509150
Thunderstorm Watch,2024-10-30 02:10:38.509150
Flood Watch,2024-10-30 08:10:38.509150
High Wind Alert,2024-10-25 16:10:38.509150
Tornado Warning,2024-10-30 20:10:38.509150
High Wind Alert,2024-10-21 02:10:38.509150
Hailstorm Warning,2024-11-10 10:10:38.509150
Thunderstorm Watch,2024-10-16 08:10:38.509150
Flood Watch,2024-11-16 05:10:38.509150
Heatwave Warning,2024-10-16 14:10:38.509150
Heavy Rainfall Alert,2024-11-01 08:10:38.509150
Blizzard Warning,2024-11-22 14:10:38.509150
Blizzard Warning,2024-11-01 20:10:38.509150
Heatwave Warning,2024-10-22 10:10:38.509150
Heatwave Warning,2024-10-27 23:10:38.509150
Thunderstorm Watch,2024-11-13 10:10:38.509150
Hailstorm Warning,2024-10-12 00:10:38.509150
Hailstorm Warning,2024-11-14 02:10:38.509150
Thunderstorm Watch,2024-11-03 08:10:38.509150
Thunderstorm Watch,2024-11-25 22:10:38.509150
Hailstorm Warning,2024-11-15 02:10:38.509150
Tornado Warning,2024-11-04 02:10:38.509150
Thunderstorm Watch,2024-11-10 01:10:38.509150
Tornado Warning,2024-11-04 14:10:38.509150
Blizzard Warning,2024-10-30 01:10:38.509150
Hailstorm Warning,2024-10-06 22:10:38.509150
High Wind Alert,2024-11-22 23:10:38.509150
Heatwave Warning,2024-10-12 22:10:38.509150
Heavy Rainfall Alert,2024-11-23 17:10:38.509150
High Wind Alert,2024-11-06 02:10:38.509150
Heatwave Warning,2024-10-19 05:10:38.509150
Heavy Rainfall Alert,2024-10-25 10:10:38.509150
Heatwave Warning,2024-12-01 08:10:38.509150
Blizzard Warning,2024-10-07 06:10:38.509150
Flood Watch,2024-10-19 17:10:38.509150
Hailstorm Warning,2024-10-13 14:10:38.509150
Thunderstorm Watch,2024-12-03 00:10:38.509150
High Wind Alert,2024-10-26 10:10:38.509150
Flood Watch,2024-10-07 11:10:38.509150
Tornado Warning,2024-11-02 04:10:38.509150
High Wind Alert,2024-11-08 20:10:38.509150
Blizzard Warning,2024-11-22 02:10:38.509150
Heatwave Warning,2024-11-09 08:10:38.509150
Heavy Rainfall Alert,2024-10-27 10:10:38.509150
Heatwave Warning,2024-12-06 08:10:38.509150
Heatwave Warning,2024-10-27 18:10:38.509150
Thunderstorm Watch,2024-11-23 18:10:38.509150
Hailstorm Warning,2024-12-07 14:10:38.509150
Tornado Warning,2024-10-28 06:10:38.509150
Thunderstorm Watch,2024-10-28 10:10:38.509150
Tornado Warning,2024-10-21 17:10:38.509150
Hailstorm Warning,2024-11-11 14:10:38.509150
Tornado Warning,2024-10-15 00:10:38.509150
Heavy Rainfall Alert,2024-11-12 02:10:38.509150
Flood Watch,2024-11-26 10:10:38.509150
Heatwave Warning,2024-11-12 14:10:38.509150
Blizzard Warning,2024-10-29 14:10:38.509150
Flood Watch,2024-11-27 10:10:38.509150
Flood Watch,2024-11-06 03:10:38.509150
Heavy Rainfall Alert,2024-10-08 08:10:38.509150
High Wind Alert,2024-12-13 00:10:38.509150
Heavy Rainfall Alert,2024-12-06 02:10:38.509150
Tornado Warning,2024-10-08 11:10:38.509150
Hailstorm Warning,2024-10-15 22:10:38.509150
Thunderstorm Watch,2024-10-23 11:10:38.509150
Heavy Rainfall Alert,2024-10-16 02:10:38.509150
Tornado Warning,2024-10-31 06:10:38.509150
Tornado Warning,2024-10-23 20:10:38.509150
Heavy Rainfall Alert,2024-10-16 08:10:38.509150
Thunderstorm Watch,2024-11-16 02:10:38.509150
Flood Watch,2024-12-01 18:10:38.509150
Blizzard Warning,2024-11-16 14:10:38.509150
Heatwave Warning,2024-11-24 15:10:38.509150
Heatwave Warning,2024-10-16 18:10:38.509150
Thunderstorm Watch,2024-12-03 02:10:38.509150
Blizzard Warning,2024-10-24 20:10:38.509150
Heatwave Warning,2024-11-09 21:10:38.509150
Heatwave Warning,2024-11-02 02:10:38.509150
Hailstorm Warning,2024-10-09 03:10:38.509150
Flood Watch,2024-11-02 10:10:38.509150
Heavy Rainfall Alert,2024-12-13 05:10:38.509150
Heatwave Warning,2024-11-02 18:10:38.509150
Hailstorm Warning,2024-10-09 07:10:38.509150
Hailstorm Warning,2024-10-17 14:10:38.509150
Heatwave Warning,2024-10-17 16:10:38.509150
Heatwave Warning,2024-12-23 10:10:38.509150
Tornado Warning,2024-11-11 23:10:38.509150
Blizzard Warning,2024-11-20 14:10:38.509150
Tornado Warning,2024-10-09 13:10:38.509150
Heatwave Warning,2024-10-09 14:10:38.509150
Blizzard Warning,2024-12-16 23:10:38.509150
Thunderstorm Watch,2024-11-13 00:10:38.509150
Flood Watch,2024-11-13 05:10:38.509150
Flood Watch,2024-12-18 02:10:38.509150
Hailstorm Warning,2024-12-27 04:10:38.509150
Flood Watch,2024-10-09 20:10:38.509150
Heatwave Warning,2024-11-14 01:10:38.509150
Thunderstorm Watch,2024-12-19 14:10:38.509150
Hailstorm Warning,2024-12-02 05:10:38.509150
Thunderstorm Watch,2024-12-20 08:10:38.509150
Tornado Warning,2024-11-14 21:10:38.509150
Flood Watch,2024-12-30 02:10:38.509150
High Wind Alert,2024-12-03 09:10:38.509150
Flood Watch,2024-11-24 14:10:38.509150
Heatwave Warning,2024-11-24 20:10:38.509150
High Wind Alert,2024-11-25 02:10:38.509150
Heavy Rainfall Alert,2024-12-04 13:10:38.509150
Heatwave Warning,2024-11-25 14:10:38.509150
Thunderstorm Watch,2024-12-23 17:10:38.509150
Hailstorm Warning,2024-11-16 18:10:38.509150
Thunderstorm Watch,2024-10-10 11:10:38.509150
Blizzard Warning,2024-11-07 18:10:38.509150
Thunderstorm Watch,2024-12-06 07:10:38.509150
Heatwave Warning,2024-12-06 14:10:38.509150
Flood Watch,2024-10-29 17:10:38.509150
Heatwave Warning,2024-12-26 08:10:38.509150
Flood Watch,2024-12-07 11:10:38.509150
Flood Watch,2024-12-27 02:10:38.509150
Heatwave Warning,2024-11-18 15:10:38.509150
Heatwave Warning,2024-11-28 14:10:38.509150
Flood Watch,2024-12-18 10:10:38.509150
Heatwave Warning,2024-12-28 14:10:38.509150
Flood Watch,2025-01-07 20:10:38.509150
Tornado Warning,2024-10-20 22:10:38.509150
Heatwave Warning,2025-01-08 16:10:38.509150
High Wind Alert,2024-10-21 02:10:38.509150
Tornado Warning,2024-11-30 08:10:38.509150
Heatwave Warning,2024-11-20 12:10:38.509150
Hailstorm Warning,2024-11-10 14:10:38.509150
Flood Watch,2024-10-21 10:10:38.509150
Heavy Rainfall Alert,2024-12-21 18:10:38.509150
Heatwave Warning,2024-12-22 02:10:38.509150
Heavy Rainfall Alert,2024-12-01 20:10:38.509150
High Wind Alert,2024-12-12 10:10:38.509150
Heavy Rainfall Alert,2024-10-11 11:10:38.509150
Thunderstorm Watch,2024-10-21 22:10:38.509150
High Wind Alert,2024-12-23 18:10:38.509150
Heatwave Warning,2024-12-13 14:10:38.509150
Thunderstorm Watch,2024-12-03 08:10:38.509150
Blizzard Warning,2024-11-01 20:10:38.509150
Thunderstorm Watch,2024-12-14 11:10:38.509150
Flood Watch,2024-10-11 18:10:38.509150
Flood Watch,2024-12-15 01:10:38.509150
Tornado Warning,2024-11-02 08:10:38.509150
Tornado Warning,2024-11-24 01:10:38.509150
Heatwave Warning,2024-12-15 22:10:38.509150
Flood Watch,2024-12-16 05:10:38.509150
Heatwave Warning,2024-11-24 16:10:38.509150
Blizzard Warning,2024-10-23 00:10:38.509150
Tornado Warning,2025-01-19 02:10:38.509150
Flood Watch,2025-01-19 12:10:38.509150
Flood Watch,2024-11-14 10:10:38.509150
Heatwave Warning,2024-10-12 05:10:38.509150
Thunderstorm Watch,2024-12-07 02:10:38.509150
Heatwave Warning,2024-11-14 22:10:38.509150
Blizzard Warning,2024-12-18 20:10:38.509150
High Wind Alert,2024-12-07 20:10:38.509150
Blizzard Warning,2024-11-04 02:10:38.509150
Thunderstorm Watch,2025-01-11 11:10:38.509150
Heavy Rainfall Alert,2024-11-15 18:10:38.509150
Blizzard Warning,2025-01-23 16:10:38.509150
Flood Watch,2024-11-16 02:10:38.509150
Heatwave Warning,2024-11-04 17:10:38.509150
Heatwave Warning,2024-11-28 00:10:38.509150
Blizzard Warning,2024-11-28 05:10:38.509150
Heatwave Warning,2024-10-12 18:10:38.509150
Hailstorm Warning,2025-01-14 11:10:38.509150
Heavy Rainfall Alert,2025-01-26 14:10:38.509150
Hailstorm Warning,2024-12-22 15:10:38.509150
Heatwave Warning,2024-11-17 10:10:38.509150
Heatwave Warning,2025-01-15 23:10:38.509150
High Wind Alert,2025-01-28 06:10:38.509150
Heatwave Warning,2024-10-25 00:10:38.509150
Thunderstorm Watch,2024-10-25 02:10:38.509150
Heatwave Warning,2024-12-24 09:10:38.509150
High Wind Alert,2025-01-17 20:10:38.509150
Flood Watch,2025-01-06 02:10:38.509150
High Wind Alert,2025-01-06 10:10:38.509150
High Wind Alert,2024-10-13 07:10:38.509150
Heatwave Warning,2024-10-13 08:10:38.509150
Heavy Rainfall Alert,2025-02-01 00:10:38.509150
Blizzard Warning,2024-12-26 10:10:38.509150
Heatwave Warning,2024-12-26 17:10:38.509150
High Wind Alert,2024-12-27 00:10:38.509150
Thunderstorm Watch,2024-12-14 20:10:38.509150
Tornado Warning,2024-12-27 14:10:38.509150
Heatwave Warning,2025-01-21 23:10:38.509150
Flood Watch,2024-12-03 00:10:38.509150
Thunderstorm Watch,2025-01-22 17:10:38.509150
Heatwave Warning,2024-12-03 10:10:38.509150
Heatwave Warning,2024-12-29 01:10:38.509150
Heatwave Warning,2024-11-21 02:10:38.509150
Heatwave Warning,2025-01-11 10:10:38.509150
Blizzard Warning,2024-12-29 22:10:38.509150
Tornado Warning,2024-12-04 11:10:38.509150
High Wind Alert,2024-12-04 16:10:38.509150
Thunderstorm Watch,2024-11-08 23:10:38.509150
Thunderstorm Watch,2024-12-05 02:10:38.509150
High Wind Alert,2024-10-14 03:10:38.509150
Hailstorm Warning,2024-12-31 16:10:38.509150
Thunderstorm Watch,2024-12-18 20:10:38.509150
Flood Watch,2024-10-27 10:10:38.509150
Heatwave Warning,2025-01-27 23:10:38.509150
Heatwave Warning,2024-10-14 08:10:38.509150
Flood Watch,2025-02-11 00:10:38.509150
Thunderstorm Watch,2025-01-29 02:10:38.509150
Heatwave Warning,2025-01-16 02:10:38.509150
Flood Watch,2024-11-10 08:10:38.509150
Tornado Warning,2024-10-14 13:10:38.509150
High Wind Alert,2024-12-21 02:10:38.509150
Hailstorm Warning,2024-11-24 06:10:38.509150
High Wind Alert,2024-12-08 00:10:38.509150
Heavy Rainfall Alert,2024-11-24 14:10:38.509150
Heavy Rainfall Alert,2025-02-14 18:10:38.509150
Thunderstorm Watch,2024-12-08 15:10:38.509150
Blizzard Warning,2025-02-01 20:10:38.509150
Heatwave Warning,2024-12-09 01:10:38.509150
Flood Watch,2024-10-14 22:10:38.509150
High Wind Alert,2025-01-06 05:10:38.509150
Heatwave Warning,2025-02-17 06:10:38.509150
Thunderstorm Watch,2024-12-09 21:10:38.509150
Heatwave Warning,2025-02-04 02:10:38.509150
Heatwave Warning,2024-10-15 03:10:38.509150
High Wind Alert,2024-10-29 06:10:38.509150
Thunderstorm Watch,2024-10-29 08:10:38.509150
Thunderstorm Watch,2024-10-15 06:10:38.509150
Heatwave Warning,2025-01-22 18:10:38.509150
Tornado Warning,2025-01-08 20:10:38.509150
High Wind Alert,2025-01-23 10:10:38.509150
Thunderstorm Watch,2024-10-15 10:10:38.509150
Heatwave Warning,2024-12-26 08:10:38.509150
High Wind Alert,2024-11-27 18:10:38.509150
Thunderstorm Watch,2024-12-26 20:10:38.509150
Thunderstorm Watch,2024-10-30 02:10:38.509150
Thunderstorm Watch,2025-02-23 12:10:38.509150
Thunderstorm Watch,2025-01-11 04:10:38.509150
Flood Watch,2024-10-15 17:10:38.509150
Heavy Rainfall Alert,2025-02-10 02:10:38.509150
Thunderstorm Watch,2024-10-30 12:10:38.509150
Heatwave Warning,2025-02-10 20:10:38.509150
Heatwave Warning,2024-11-14 11:10:38.509150
Tornado Warning,2025-01-27 18:10:38.509150
Heavy Rainfall Alert,2025-01-13 05:10:38.509150
Heavy Rainfall Alert,2025-01-13 12:10:38.509150
Thunderstorm Watch,2024-11-29 22:10:38.509150
High Wind Alert,2024-12-15 02:10:38.509150
Hailstorm Warning,2025-02-13 11:10:38.509150
Blizzard Warning,2025-01-29 18:10:38.509150
Blizzard Warning,2024-12-30 20:10:38.509150
High Wind Alert,2024-10-31 10:10:38.509150
Tornado Warning,2025-01-15 13:10:38.509150
Tornado Warning,2025-02-15 08:10:38.509150
Heavy Rainfall Alert,2025-02-15 17:10:38.509150
Thunderstorm Watch,2024-10-31 18:10:38.509150
Flood Watch,2025-01-01 08:10:38.509150
Flood Watch,2025-01-17 00:10:38.509150
Thunderstorm Watch,2025-02-17 05:10:38.509150
Blizzard Warning,2024-11-16 14:10:38.509150
Blizzard Warning,2025-03-05 12:10:38.509150
Heatwave Warning,2025-01-18 04:10:38.509150
Thunderstorm Watch,2024-12-18 05:10:38.509150
Thunderstorm Watch,2024-11-01 10:10:38.509150
Tornado Warning,2025-02-19 11:10:38.509150
Heavy Rainfall Alert,2024-11-17 08:10:38.509150
Thunderstorm Watch,2024-11-01 16:10:38.509150
Flood Watch,2025-02-04 18:10:38.509150
Thunderstorm Watch,2024-12-03 14:10:38.509150
Tornado Warning,2025-01-20 12:10:38.509150
Heavy Rainfall Alert,2025-02-21 17:10:38.509150
Hailstorm Warning,2024-11-18 02:10:38.509150
Flood Watch,2025-01-21 09:10:38.509150
Heatwave Warning,2024-12-04 10:10:38.509150
Flood Watch,2024-11-02 08:10:38.509150
Heavy Rainfall Alert,2025-02-07 10:10:38.509150
Thunderstorm Watch,2025-03-12 04:10:38.509150
Tornado Warning,2024-11-18 20:10:38.509150
Tornado Warning,2025-02-24 17:10:38.509150
Flood Watch,2024-12-05 10:10:38.509150
Flood Watch,2025-01-07 08:10:38.509150
Heavy Rainfall Alert,2024-12-22 04:10:38.509150
Thunderstorm Watch,2025-02-09 18:10:38.509150
Thunderstorm Watch,2025-01-08 02:10:38.509150
High Wind Alert,2024-11-03 04:10:38.509150
Heavy Rainfall Alert,2024-11-19 20:10:38.509150
Heavy Rainfall Alert,2025-01-08 20:10:38.509150
Heavy Rainfall Alert,2025-02-11 10:10:38.509150
Heatwave Warning,2024-10-17 19:10:38.509150
Thunderstorm Watch,2025-02-12 02:10:38.509150
Thunderstorm Watch,2025-03-18 00:10:38.509150
Blizzard Warning,2025-03-01 14:10:38.509150
Thunderstorm Watch,2025-01-10 08:10:38.509150
Heatwave Warning,2024-12-24 16:10:38.509150
Flood Watch,2025-03-19 16:10:38.509150
Heatwave Warning,2024-12-25 02:10:38.509150
Flood Watch,2025-01-28 09:10:38.509150
Hailstorm Warning,2024-10-18 04:10:38.509150
Heatwave Warning,2025-01-11 20:10:38.509150
Hailstorm Warning,2024-12-25 22:10:38.509150
Heatwave Warning,2025-03-04 23:10:38.509150
Heatwave Warning,2024-12-26 08:10:38.509150
Thunderstorm Watch,2025-03-23 00:10:38.509150
Hailstorm Warning,2025-03-06 02:10:38.509150
Heavy Rainfall Alert,2025-03-23 20:10:38.509150
Heatwave Warning,2024-10-18 12:10:38.509150
High Wind Alert,2024-10-18 13:10:38.509150
Heavy Rainfall Alert,2025-03-07 14:10:38.509150
Heatwave Warning,2025-02-18 10:10:38.509150
Heatwave Warning,2025-01-14 14:10:38.509150
Tornado Warning,2024-11-05 08:10:38.509150
Thunderstorm Watch,2024-12-10 18:10:38.509150
Flood Watch,2024-12-10 22:10:38.509150
High Wind Alert,2025-02-20 02:10:38.509150
Thunderstorm Watch,2025-03-10 05:10:38.509150
High Wind Alert,2024-11-05 18:10:38.509150
Thunderstorm Watch,2025-03-28 20:10:38.509150
Flood Watch,2025-01-16 14:10:38.509150
Hailstorm Warning,2024-12-29 21:10:38.509150
Heavy Rainfall Alert,2024-10-19 02:10:38.509150
Heatwave Warning,2024-11-06 04:10:38.509150
Flood Watch,2025-02-04 16:10:38.509150
Blizzard Warning,2025-02-23 02:10:38.509150
Heavy Rainfall Alert,2024-12-30 22:10:38.509150
Heavy Rainfall Alert,2025-03-13 23:10:38.509150
Thunderstorm Watch,2024-11-24 20:10:38.509150
Thunderstorm Watch,2024-12-31 13:10:38.509150
Thunderstorm Watch,2024-11-25 02:10:38.509150
Tornado Warning,2025-03-15 11:10:38.509150
Tornado Warning,2024-11-06 22:10:38.509150
Heavy Rainfall Alert,2025-02-25 18:10:38.509150
Heavy Rainfall Alert,2025-03-16 14:10:38.509150
Hailstorm Warning,2025-02-07 21:10:38.509150
Tornado Warning,2024-11-25 20:10:38.509150
Heatwave Warning,2024-12-14 14:10:38.509150
Flood Watch,2024-11-07 10:10:38.509150
Thunderstorm Watch,2024-12-14 22:10:38.509150
Heatwave Warning,2025-01-02 20:10:38.509150
Thunderstorm Watch,2025-04-07 00:10:38.509150
Flood Watch,2025-04-07 10:10:38.509150
Heatwave Warning,2025-03-19 23:10:38.509150
Blizzard Warning,2024-10-20 00:10:38.509150
High Wind Alert,2024-12-15 22:10:38.509150
Flood Watch,2025-03-21 02:10:38.509150
Flood Watch,2025-03-21 11:10:38.509150
Heavy Rainfall Alert,2024-11-27 08:10:38.509150
Heatwave Warning,2025-02-11 23:10:38.509150
Hailstorm Warning,2024-11-27 14:10:38.509150
Heavy Rainfall Alert,2025-04-11 04:10:38.509150
Heatwave Warning,2024-11-27 20:10:38.509150
Thunderstorm Watch,2024-12-17 06:10:38.509150
Flood Watch,2025-02-13 10:10:38.509150
Hailstorm Warning,2025-04-12 20:10:38.509150
Flood Watch,2024-12-17 18:10:38.509150
Heatwave Warning,2024-11-28 11:10:38.509150
High Wind Alert,2024-11-09 02:10:38.509150
Heatwave Warning,2025-03-25 23:10:38.509150
Hailstorm Warning,2024-11-09 06:10:38.509150
Blizzard Warning,2024-10-20 17:10:38.509150
Tornado Warning,2025-03-07 10:10:38.509150
Heatwave Warning,2025-01-27 08:10:38.509150
Blizzard Warning,2024-12-19 02:10:38.509150
Blizzard Warning,2024-12-19 06:10:38.509150
Heatwave Warning,2025-02-16 22:10:38.509150
Thunderstorm Watch,2025-01-08 11:10:38.509150
Heatwave Warning,2025-03-09 10:10:38.509150
Blizzard Warning,2024-10-21 01:10:38.509150
Thunderstorm Watch,2024-11-30 02:10:38.509150
Blizzard Warning,2025-04-19 12:10:38.509150
Blizzard Warning,2024-12-20 10:10:38.509150
Tornado Warning,2025-01-09 17:10:38.509150
High Wind Alert,2024-11-30 14:10:38.509150
Heavy Rainfall Alert,2025-02-19 13:10:38.509150
Flood Watch,2024-11-30 20:10:38.509150
Heatwave Warning,2025-04-01 17:10:38.509150
Flood Watch,2025-03-12 18:10:38.509150
Tornado Warning,2025-01-10 23:10:38.509150
Flood Watch,2024-11-10 22:10:38.509150
Flood Watch,2025-01-31 20:10:38.509150
Heavy Rainfall Alert,2025-02-01 02:10:38.509150
Heatwave Warning,2025-04-03 23:10:38.509150
Heavy Rainfall Alert,2025-01-12 00:10:38.509150
Tornado Warning,2025-03-15 02:10:38.509150
Heatwave Warning,2025-04-25 18:10:38.509150
High Wind Alert,2024-10-21 19:10:38.509150
Thunderstorm Watch,2025-02-23 08:10:38.509150
Heatwave Warning,2025-03-16 10:10:38.509150
